2024-08-25 07:42:40.1724551960 IST +0530 | root | DEBUG | An instance of <class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f188d929850> is being initialized
2024-08-25 07:42:40.1724551960 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:42:40.1724551960 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f188d8356a0>
2024-08-25 07:42:40.1724551960 IST +0530 | root | DEBUG | type(fred)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:42:40.1724551960 IST +0530 | root | DEBUG | fred=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f188d929850>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f7da233f3b0>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Tim'}
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f7da233f3e0>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Fred'}
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f7da233f3b0>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | type(fred)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:50:15.1724552415 IST +0530 | root | DEBUG | fred=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f7da233f3e0>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f3a01cc75c0>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Tim'}
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f3a01cc75f0>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Fred'}
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f3a01cc75c0>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | type(fred)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | fred=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f3a01cc75f0>
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | tim.speak()='Tim says woof!'
2024-08-25 07:53:53.1724552633 IST +0530 | root | DEBUG | fred.speak()='Fred says woof!'
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 07:58:25.1724552905 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7fee322d1850>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Tim', 'dog_age': 55}
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | An instance of self.__class__=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7fee3259aed0>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | self.__dict__={'dog_name': 'Fred', 'dog_age': 3}
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7fee322d1850>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | type(fred)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | fred=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7fee3259aed0>
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | tim.speak()="self.dog_name='Tim' aged self.dog_age=55 says woof!"
2024-08-25 08:00:12.1724553012 IST +0530 | root | DEBUG | fred.speak()="self.dog_name='Fred' aged self.dog_age=3 says woof!"
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_inheritance
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_inheritance']
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_inheritance.cat
